title,date,venue,description,category,categories,url
Theatre,Date TBA,Venue TBA,No description available,theatre,theatre,"https://www.whatsonglasgow.co.uk/event/033372-a-play,-a-pie-and-a-pint-autumn-season/"
"A Play, A Pie and A Pint Autumn Season",1st September 2025 - 22nd November 2025,"Oran Mor, Glasgow West End","With wonderful musicals, hilarious comedies and thrilling dramas, there is plenty of great treats to tuck into this Autumn at A Play, A Pie and A Pint!",theatre,theatre,"https://www.whatsonglasgow.co.uk/event/033372-a-play,-a-pie-and-a-pint-autumn-season/"
Music,Date TBA,Venue TBA,No description available,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/114700-a-tribute-to-freddie-mercury/
A Tribute To Freddie Mercury,5th July 2025 - 25th October 2025,"The Ferry, Glasgow City Centre","Jim Smart's tribute to Freddie Mercury is one of the most energetic and fun tribute shows available in Scotland today, don't miss it at The Ferry!",music,music|nights-out,https://www.whatsonglasgow.co.uk/event/114700-a-tribute-to-freddie-mercury/
Tour,Date TBA,Venue TBA,No description available,food-and-drink,food-and-drink|outdoor|tour,https://www.whatsonglasgow.co.uk/event/101444-a-wee-walk-&-a-whisky-(or-three!)/
A Wee Walk & A Whisky (or three!),11th January 2025 - 21st December 2025,"Glasgow City Chambers, Glasgow City Centre","Enjoy a wee walk and a premium whisky tasting in a local pub with a fun, local guide and see a new side to the city on your trip with this small group tour with Walking Tours in Glasgow!",food-and-drink,food-and-drink|outdoor|tour,https://www.whatsonglasgow.co.uk/event/101444-a-wee-walk-&-a-whisky-(or-three!)/
Halloween,Date TBA,Venue TBA,No description available,nights-out,nights-out,https://www.whatsonglasgow.co.uk/event/126612-adult-halloween-event:-spirits-of-the-tea-rooms/
Adult Halloween Event: Spirits of the Tea Rooms,25th October 2025,"Mackintosh at the Willow, Glasgow City Centre","Come along for an evening of mysticism, fortune-telling, mindreading, and historical intrigue at Mackintosh at the Willow's Halloween event, Spirits of the Tea Rooms!",nights-out,nights-out,https://www.whatsonglasgow.co.uk/event/126612-adult-halloween-event:-spirits-of-the-tea-rooms/
Exhibitions,Date TBA,Venue TBA,No description available,exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/161482-alasdair-gray:-works-from-the-morag-mcalpine-bequest/
Alasdair Gray: Works from the Morag McAlpine Bequest,5th June 2025 - 5th June 2026,"Kelvingrove Art Gallery and Museum, Glasgow West End",A display of nine of Alasdair Gray's works from The Morag McAlpine Bequest is open now in the Fragile Art Gallery in Kelvingrove Art Gallery and Museum.,exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/161482-alasdair-gray:-works-from-the-morag-mcalpine-bequest/
