title,date,venue,description,category,categories,url,image_url
2 Shades Of Funny: Comedy & Short Film Night,26th October 2025,"The Stand Comedy Club Glasgow, Glasgow West End",Get ready for a night of non-stop laughter at the 2 Shades of Funny: Comedy & Short Film Night being held at The Stand Glasgow on Sunday 26th October!,comedy,comedy|nights-out,https://www.whatsonglasgow.co.uk/event/141774-2-shades-of-funny:-comedy-&-short-film-night/,https://www.whatsonnetwork.co.uk/uploads/800x600/e7485a6c754ff11c70d89c1a3164b9c5.jpg
A Wee Walk & A Whisky (or three!),11th January 2025 - 21st December 2025,"Glasgow City Chambers, Glasgow City Centre","Enjoy a wee walk and a premium whisky tasting in a local pub with a fun, local guide and see a new side to the city on your trip with this small group tour with Walking Tours in Glasgow!",food-and-drink,food-and-drink|outdoor|tour,https://www.whatsonglasgow.co.uk/event/101444-a-wee-walk-&-a-whisky-(or-three!)/,https://www.whatsonnetwork.co.uk/uploads/800x600/6506657cd0ec13e528596ef9693e4482.jpg
Adam Ant,26th October 2025 - 27th October 2025,"The Glasgow Royal Concert Hall, Glasgow City Centre","Pop icon, Adam Ant returns to Glasgow Royal Concert Hall with his latest UK Tour, ANTMUSIC performing his classic chart-topping hits and personal favourites!",music,music|nights-out,https://www.whatsonglasgow.co.uk/event/094631-adam-ant/,https://www.whatsonnetwork.co.uk/uploads/800x600/075787d693e45fb6e29ecaacd85b9b43.jpg
Alasdair Gray: Works from the Morag McAlpine Bequest,5th June 2025 - 5th June 2026,"Kelvingrove Art Gallery and Museum, Glasgow West End",A display of nine of Alasdair Gray's works from The Morag McAlpine Bequest is open now in the Fragile Art Gallery in Kelvingrove Art Gallery and Museum.,exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/161482-alasdair-gray:-works-from-the-morag-mcalpine-bequest/,https://www.whatsonnetwork.co.uk/uploads/800x600/a4e877e3067196e9f69eb76c8b5f4588.jpg
All Ages Retro Game Sessions,23rd October 2025 - 28th December 2025,"R CADE, Glasgow City Centre",Get your game on at Glasgow's only family friendly retro gaming venue by booking one of their Retro Gaming Sessions!,family-and-kids,family-and-kids|gaming,https://www.whatsonglasgow.co.uk/event/097176-all-ages-retro-game-sessions/,https://www.whatsonnetwork.co.uk/uploads/800x600/58b32be0f041d068101970c83e53dd0d.jpg
All Ages Retro Quiet Gaming Sessions At R-CADE,1st May 2025 - 11th December 2025,"R CADE, Glasgow City Centre","R-CADE host Quiet Gaming Sessions, suitable for all ages, every Thursday afternoon and the last Sunday each month!",family-and-kids,family-and-kids|gaming,https://www.whatsonglasgow.co.uk/event/114419-all-ages-retro-quiet-gaming-sessions-at-r-cade/,https://www.whatsonnetwork.co.uk/uploads/800x600/2c673e26b911d5b90b148278775dcbeb.jpg
Angels Weep & Silkspine,26th October 2025,"Nice N Sleazy, Glasgow City Centre",Angels Weep & Silkspine - hardcore bands from Scotland - play Glasgow's Nice N Sleazy on Sunday 26th October!,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/161752-angels-weep-&-silkspine/,https://www.whatsonnetwork.co.uk/uploads/800x600/02393ac77e22389ecf7b50a2dc64999d.jpg
Arta Wedding Open Day,2nd February 2025 - 26th October 2025,"Arta, Glasgow City Centre",Planning your big day? Join Arta for their upcoming Wedding Open Day and view the venue set up with various styles so you can picture how your special day will look!,general,general,https://www.whatsonglasgow.co.uk/event/120933-arta-wedding-open-day/,https://www.whatsonnetwork.co.uk/uploads/800x600/67b1118084fe2d05c61501a3ec85c5f7.jpg
Back Onside’s Big Shindig,26th October 2025,"DoubleTree by Hilton Hotel Glasgow Central, Glasgow City Centre","Scottish mental-health charity Back Onside will host its flagship fundraiser, the Big Shindig, on Sunday 26th October at the DoubleTree by Hilton Glasgow Central!",nights-out,nights-out,https://www.whatsonglasgow.co.uk/event/161861-back-onside’s-big-shindig/,https://www.whatsonnetwork.co.uk/uploads/800x600/bff5b2845814960192bf01c5d860d46f.jpg
Battlefield Lantern Parade,26th October 2025,Venue TBA,"Battlefield Community Project presents the return of the weird and wonderful annual Battlefield Lantern Parade, led by Brass, Aye? on Sunday 26th October!",community,community|family-and-kids,https://www.whatsonglasgow.co.uk/event/052946-battlefield-lantern-parade/,https://www.whatsonnetwork.co.uk/uploads/800x600/a3e7f35a8a3fa337522d5a33cb8a8175.jpg
